Date,Time,Consumption
01.01.2016,00:00,"26.277,24"
01.01.2016,01:00,"24.991,82"
01.01.2016,02:00,"23.532,61"
01.01.2016,03:00,"22.464,78"
01.01.2016,04:00,"22.002,91"
01.01.2016,05:00,"21.957,08"
01.01.2016,06:00,"22.203,54"
01.01.2016,07:00,"21.844,16"
01.01.2016,08:00,"23.094,73"
01.01.2016,09:00,"25.202,27"
01.01.2016,10:00,"27.224,96"
01.01.2016,11:00,"28.908,04"
01.01.2016,12:00,"28.789,25"
01.01.2016,13:00,"29.367,70"
01.01.2016,14:00,"29.548,32"
01.01.2016,15:00,"29.390,89"
01.01.2016,16:00,"30.734,97"
01.01.2016,17:00,"32.048,02"
01.01.2016,18:00,"31.438,11"
01.01.2016,19:00,"30.728,47"
01.01.2016,20:00,"30.166,14"
01.01.2016,21:00,"29.461,28"
01.01.2016,22:00,"29.242,83"
01.01.2016,23:00,"28.069,09"
02.01.2016,00:00,"26.224,60"
02.01.2016,01:00,"24.708,58"
02.01.2016,02:00,"23.771,58"
02.01.2016,03:00,"22.921,29"
02.01.2016,04:00,"22.870,89"
02.01.2016,05:00,"23.325,63"
02.01.2016,06:00,"23.604,98"
02.01.2016,07:00,"24.022,70"
02.01.2016,08:00,"26.930,48"
02.01.2016,09:00,"30.043,60"
02.01.2016,10:00,"32.102,38"
02.01.2016,11:00,"33.431,89"
02.01.2016,12:00,"32.910,61"
02.01.2016,13:00,"32.887,61"
02.01.2016,14:00,"32.796,18"
02.01.2016,15:00,"32.594,55"
02.01.2016,16:00,"33.358,47"
02.01.2016,17:00,"34.387,95"
02.01.2016,18:00,"33.591,26"
02.01.2016,19:00,"32.648,83"
02.01.2016,20:00,"31.897,73"
02.01.2016,21:00,"31.049,20"
02.01.2016,22:00,"30.906,43"
02.01.2016,23:00,"29.621,09"
03.01.2016,00:00,"27.613,96"
03.01.2016,01:00,"25.779,28"
03.01.2016,02:00,"24.566,31"
03.01.2016,03:00,"23.878,42"
03.01.2016,04:00,"23.511,38"
03.01.2016,05:00,"23.672,32"
03.01.2016,06:00,"23.827,08"
03.01.2016,07:00,"23.405,11"
03.01.2016,08:00,"24.638,72"
03.01.2016,09:00,"26.802,38"
03.01.2016,10:00,"28.779,88"
03.01.2016,11:00,"30.204,30"
03.01.2016,12:00,"30.588,30"
03.01.2016,13:00,"30.902,63"
03.01.2016,14:00,"31.056,47"
03.01.2016,15:00,"30.979,53"
03.01.2016,16:00,"32.297,46"
03.01.2016,17:00,"33.462,96"
03.01.2016,18:00,"33.151,03"
03.01.2016,19:00,"32.450,21"
03.01.2016,20:00,"32.093,93"
03.01.2016,21:00,"31.315,16"
03.01.2016,22:00,"31.014,19"
03.01.2016,23:00,"29.462,06"
04.01.2016,00:00,"27.103,09"
04.01.2016,01:00,"25.439,84"
04.01.2016,02:00,"24.395,07"
04.01.2016,03:00,"23.961,03"
04.01.2016,04:00,"23.860,63"
04.01.2016,05:00,"24.418,47"
04.01.2016,06:00,"25.708,59"
04.01.2016,07:00,"27.455,39"
04.01.2016,08:00,"32.982,07"
04.01.2016,09:00,"37.175,84"
04.01.2016,10:00,"38.606,67"
04.01.2016,11:00,"39.659,57"
04.01.2016,12:00,"38.416,32"
04.01.2016,13:00,"39.279,26"
04.01.2016,14:00,"39.661,98"
04.01.2016,15:00,"39.211,00"
04.01.2016,16:00,"39.760,12"
04.01.2016,17:00,"39.633,29"
04.01.2016,18:00,"37.621,41"
04.01.2016,19:00,"35.954,18"
04.01.2016,20:00,"35.114,12"
04.01.2016,21:00,"34.066,40"
04.01.2016,22:00,"33.686,83"
04.01.2016,23:00,"31.733,54"
05.01.2016,00:00,"29.244,38"
05.01.2016,01:00,"27.637,23"
05.01.2016,02:00,"26.335,78"
05.01.2016,03:00,"25.870,23"
05.01.2016,04:00,"25.975,07"
05.01.2016,05:00,"26.318,48"
05.01.2016,06:00,"27.109,29"
05.01.2016,07:00,"28.570,22"
05.01.2016,08:00,"33.106,00"
05.01.2016,09:00,"36.657,12"
05.01.2016,10:00,"37.776,49"
05.01.2016,11:00,"38.664,22"
05.01.2016,12:00,"37.522,11"
05.01.2016,13:00,"37.820,69"
05.01.2016,14:00,"38.086,11"
05.01.2016,15:00,"37.834,89"
05.01.2016,16:00,"38.599,34"
05.01.2016,17:00,"38.669,63"
05.01.2016,18:00,"36.954,78"
05.01.2016,19:00,"35.306,11"
05.01.2016,20:00,"34.301,59"
05.01.2016,21:00,"33.400,82"
05.01.2016,22:00,"33.359,37"
05.01.2016,23:00,"31.629,97"
06.01.2016,00:00,"29.189,27"
06.01.2016,01:00,"27.614,02"
06.01.2016,02:00,"26.578,97"
06.01.2016,03:00,"25.719,19"
06.01.2016,04:00,"25.864,63"
06.01.2016,05:00,"25.918,59"
06.01.2016,06:00,"27.091,94"
06.01.2016,07:00,"28.533,05"
06.01.2016,08:00,"33.203,34"
06.01.2016,09:00,"36.257,22"
06.01.2016,10:00,"37.212,91"
06.01.2016,11:00,"37.844,74"
06.01.2016,12:00,"36.194,13"
06.01.2016,13:00,"36.542,73"
06.01.2016,14:00,"36.847,22"
06.01.2016,15:00,"36.433,88"
06.01.2016,16:00,"37.581,09"
06.01.2016,17:00,"37.304,52"
06.01.2016,18:00,"35.832,00"
06.01.2016,19:00,"34.499,94"
06.01.2016,20:00,"33.670,00"
06.01.2016,21:00,"32.931,12"
06.01.2016,22:00,"32.913,06"
06.01.2016,23:00,"31.450,65"
07.01.2016,00:00,"28.763,95"
07.01.2016,01:00,"27.284,84"
07.01.2016,02:00,"26.321,95"
07.01.2016,03:00,"25.748,49"
07.01.2016,04:00,"25.636,58"
07.01.2016,05:00,"25.932,52"
07.01.2016,06:00,"26.963,74"
07.01.2016,07:00,"28.444,83"
07.01.2016,08:00,"32.804,27"
07.01.2016,09:00,"35.608,30"
07.01.2016,10:00,"36.500,83"
07.01.2016,11:00,"37.350,92"
07.01.2016,12:00,"35.900,99"
07.01.2016,13:00,"36.800,39"
07.01.2016,14:00,"37.376,83"
07.01.2016,15:00,"37.100,43"
07.01.2016,16:00,"37.668,65"
07.01.2016,17:00,"37.906,99"
07.01.2016,18:00,"35.841,62"
07.01.2016,19:00,"34.621,65"
07.01.2016,20:00,"33.784,72"
07.01.2016,21:00,"32.638,14"
07.01.2016,22:00,"32.739,98"
07.01.2016,23:00,"31.092,87"
08.01.2016,00:00,"28.602,02"
08.01.2016,01:00,"27.112,37"
08.01.2016,02:00,"25.975,34"
08.01.2016,03:00,"25.315,55"
08.01.2016,04:00,"25.128,15"
08.01.2016,05:00,"25.356,22"
08.01.2016,06:00,"26.338,72"
08.01.2016,07:00,"28.086,42"
08.01.2016,08:00,"32.702,24"
08.01.2016,09:00,"35.788,17"
08.01.2016,10:00,"36.843,20"
08.01.2016,11:00,"37.140,00"
08.01.2016,12:00,"34.622,56"
08.01.2016,13:00,"36.134,82"
08.01.2016,14:00,"36.555,58"
08.01.2016,15:00,"36.190,41"
08.01.2016,16:00,"37.031,72"
08.01.2016,17:00,"37.773,70"
08.01.2016,18:00,"35.930,69"
08.01.2016,19:00,"34.710,46"
08.01.2016,20:00,"33.907,65"
08.01.2016,21:00,"33.048,69"
08.01.2016,22:00,"33.220,16"
08.01.2016,23:00,"32.021,60"
09.01.2016,00:00,"29.906,93"
09.01.2016,01:00,"28.061,98"
09.01.2016,02:00,"26.808,78"
09.01.2016,03:00,"25.798,80"
09.01.2016,04:00,"25.820,46"
09.01.2016,05:00,"26.035,77"
09.01.2016,06:00,"26.451,24"
09.01.2016,07:00,"26.853,42"
09.01.2016,08:00,"30.627,32"
09.01.2016,09:00,"33.468,25"
09.01.2016,10:00,"34.792,84"
09.01.2016,11:00,"35.382,85"
09.01.2016,12:00,"34.131,49"
09.01.2016,13:00,"33.827,99"
09.01.2016,14:00,"33.524,80"
09.01.2016,15:00,"32.951,39"
09.01.2016,16:00,"33.655,89"
09.01.2016,17:00,"35.045,14"
09.01.2016,18:00,"34.407,27"
09.01.2016,19:00,"33.494,32"
09.01.2016,20:00,"32.624,31"
09.01.2016,21:00,"32.097,79"
09.01.2016,22:00,"32.176,63"
09.01.2016,23:00,"30.760,17"
10.01.2016,00:00,"28.890,37"
10.01.2016,01:00,"27.133,75"
10.01.2016,02:00,"25.656,13"
10.01.2016,03:00,"24.937,87"
10.01.2016,04:00,"24.538,16"
10.01.2016,05:00,"24.616,05"
10.01.2016,06:00,"24.478,14"
10.01.2016,07:00,"23.813,35"
10.01.2016,08:00,"24.676,92"
10.01.2016,09:00,"26.693,26"
10.01.2016,10:00,"28.136,07"
10.01.2016,11:00,"29.059,35"
10.01.2016,12:00,"28.947,35"
10.01.2016,13:00,"28.944,66"
10.01.2016,14:00,"29.089,83"
10.01.2016,15:00,"29.447,75"
10.01.2016,16:00,"30.569,07"
10.01.2016,17:00,"32.006,15"
10.01.2016,18:00,"31.706,26"
10.01.2016,19:00,"31.305,87"
10.01.2016,20:00,"30.870,26"
10.01.2016,21:00,"30.462,79"
10.01.2016,22:00,"30.537,75"
10.01.2016,23:00,"28.857,66"
11.01.2016,00:00,"27.130,75"
11.01.2016,01:00,"25.403,40"
11.01.2016,02:00,"24.452,96"
11.01.2016,03:00,"23.959,85"
